ticket_id,user_id,category,priority,created_date,resolved_date,resolution_time_hours,satisfaction_score
TKT_030000,USR_1025,feature_request,high,2024-08-19,2024-08-22,77.0,
TKT_030001,USR_1008,onboarding,low,2024-03-20,,,
TKT_030002,USR_1028,account,high,2024-07-27,,,
TKT_030003,USR_1022,technical,critical,2024-06-06,2024-06-11,123.0,3
TKT_030004,USR_1045,onboarding,low,2024-04-20,2024-05-04,336.0,2
TKT_030005,USR_1022,account,low,2024-12-12,2024-12-19,179.0,4
TKT_030006,USR_1028,onboarding,medium,2024-02-18,2024-02-24,144.0,1
TKT_030007,USR_1049,technical,medium,2024-04-11,2024-04-26,382.0,1
TKT_030008,USR_1037,onboarding,high,2024-02-08,,,
TKT_030009,USR_1004,technical,critical,2024-03-06,,,
TKT_030010,USR_1021,billing,low,2024-08-24,,,
TKT_030011,USR_1036,account,critical,2024-09-11,,,
TKT_030012,USR_1043,account,medium,2024-06-30,2024-07-08,192.0,4
TKT_030013,USR_1009,billing,medium,2024-11-27,2024-12-14,422.0,
TKT_030014,USR_1030,billing,low,2024-05-23,2024-06-09,430.0,5
TKT_030015,USR_1015,onboarding,low,2024-07-14,2024-07-29,368.0,4
TKT_030016,USR_1022,onboarding,high,2024-07-17,2024-07-18,27.0,2
TKT_030017,USR_1001,feature_request,low,2024-08-29,2024-09-22,599.0,
TKT_030018,USR_1010,billing,medium,2024-12-02,2024-12-24,547.0,1
TKT_030019,USR_1048,technical,critical,2024-06-30,2024-07-07,178.0,5
TKT_030020,USR_1020,feature_request,low,2024-06-29,2024-07-23,578.0,2
TKT_030021,USR_1031,onboarding,high,2024-03-30,2024-04-02,93.0,5
TKT_030022,USR_1014,billing,critical,2024-01-01,2024-01-27,629.0,2
TKT_030023,USR_1021,technical,high,2024-01-31,,,
TKT_030024,USR_1037,technical,low,2024-09-26,2024-09-29,75.0,4
TKT_030025,USR_1037,billing,high,2024-06-03,2024-06-09,162.0,4
TKT_030026,USR_1040,account,high,2024-03-30,2024-04-23,576.0,5
TKT_030027,USR_1022,technical,medium,2024-07-12,2024-08-10,706.0,2
TKT_030028,USR_1046,billing,critical,2024-10-17,,,
TKT_030029,USR_1038,feature_request,medium,2024-11-23,2024-12-14,509.0,1
TKT_030030,USR_1015,feature_request,high,2024-03-26,2024-03-29,91.0,3
TKT_030031,USR_1028,billing,high,2024-04-17,2024-04-19,70.0,1
TKT_030032,USR_1046,billing,low,2024-07-16,2024-08-02,430.0,
TKT_030033,USR_1026,account,critical,2024-06-28,2024-07-02,104.0,5
TKT_030034,USR_1041,technical,medium,2024-08-19,,,
TKT_030035,USR_1002,feature_request,low,2024-06-12,2024-06-16,108.0,2
TKT_030036,USR_1024,technical,low,2024-10-07,2024-10-11,96.0,5
TKT_030037,USR_1030,billing,critical,2024-11-30,,,
TKT_030038,USR_1027,technical,low,2024-02-21,2024-02-29,195.0,5
TKT_030039,USR_1046,onboarding,high,2024-12-04,2024-12-14,244.0,4
